id,x,y,z,D
0,-35052.67,-1388.81,-8.07,96340.1
1,-63176.83,-14012.42,-1374.47,13914.0
2,22706.48,-27093.91,1073.31,12516.6
3,-109601.92,29819.98,4.05,2502.0
4,94033.45,14612.82,-1194.48,1973.6
5,91227.23,15140.45,-957.66,1026.1
6,77898.42,26560.22,-160.73,1028.4
7,89141.00,8463.25,-1012.75,1040.8
8,65268.95,6549.84,-640.63,1866.7
9,59821.76,7150.25,-397.93,1048.5
10,52075.89,10222.00,228.29,1529.7
11,43701.49,7941.69,542.33,1011.9
12,52801.78,29856.37,-3385.10,1337.1
13,9690.46,13509.05,-845.84,1092.7
14,11050.78,11765.46,-676.24,1112.0
15,5588.83,14703.79,-633.11,1005.8
16,4753.75,21823.72,-1212.46,1000.7
17,5166.87,19588.88,-1490.29,1161.7
18,-19693.70,23124.59,447.04,1553.7
19,-15468.14,18400.21,639.70,1389.3
20,-1965.24,13087.56,517.23,2221.7
21,-56499.15,22842.58,-786.93,1232.3
22,-62902.41,18657.96,-635.39,1572.9
23,-44982.14,5712.92,-835.64,1005.0
24,-69355.83,28100.65,1283.10,1696.4
25,-73976.79,28033.94,1449.44,2180.7
26,-74962.36,22633.35,1142.60,3407.4
27,-63575.19,22196.69,-368.93,2239.7
28,-63840.76,20325.74,-291.27,1298.2
29,-63114.86,14439.98,-696.76,2361.5
30,-68647.63,7932.59,-426.43,2531.6
31,-79485.95,6565.01,913.63,1609.6
32,-87942.97,7244.25,1618.95,3290.8
33,-88403.30,17208.50,1631.45,2930.4
34,-92826.56,18651.89,1365.09,1486.0
35,-91298.05,18366.85,1399.56,2198.6
36,-94540.98,18591.25,1255.50,1690.4
37,-97235.07,15786.34,1170.82,1715.4
38,-101442.93,14588.56,976.15,2048.7
39,-98943.59,5121.61,1173.12,1575.9
40,-98554.09,6874.30,1148.56,1341.2
41,-82519.39,23442.98,1701.96,3239.4
42,-85378.72,26463.19,1299.22,3549.6
43,-94886.23,27636.70,904.80,2360.5
44,-95921.96,25013.73,1252.92,1431.3
45,-96627.21,24104.03,1184.74,1228.7
46,-95677.05,22533.28,1014.11,3050.4
47,-99492.44,21141.44,930.97,2302.4
48,-99654.74,28179.49,906.23,2349.8
49,-99734.41,26693.65,957.98,2214.4
50,-79040.38,28403.88,1505.34,1020.3
51,-74794.17,17469.28,1057.31,1896.8
52,-103511.45,20462.20,1097.54,1887.0
53,-101941.62,8748.29,1045.41,3344.0
54,-101180.31,11625.97,1122.85,1160.2
55,-104370.13,13781.96,1043.47,1152.2
56,-106730.78,13687.96,987.58,1063.0
57,-90849.52,11753.33,1663.90,1888.2
58,-89241.33,11586.55,1880.31,1565.8
59,-86252.16,21274.86,1812.20,1384.2
60,-91976.73,22954.78,1471.67,1302.3
61,-90200.34,25398.84,1404.82,1485.5
62,-91011.82,26508.67,1199.70,1733.7
63,-88305.92,15373.94,1915.11,2655.3
64,-88238.06,8854.42,1770.92,2394.5
65,-81203.33,7213.93,1250.39,1347.0
66,-78214.16,3635.77,756.65,1769.2
67,-88792.81,3147.56,1952.86,1902.7
68,-96739.34,3717.64,1168.97,1305.2
69,-96624.26,1849.72,1329.47,1260.7
70,-98173.43,1689.01,1333.81,1314.4
71,-99758.02,1252.35,1254.65,2339.7
72,-107672.09,12217.28,934.50,1531.2
73,-99575.07,6783.33,1006.23,3189.5
74,-109997.32,-29443.97,1896.78,1215.4
75,-105813.08,-1482.81,980.58,1628.3
76,-106589.14,-2738.20,979.98,1291.7
77,-98568.84,-557.95,1359.67,2887.6
78,-102357.68,-2771.55,1198.02,1542.7
79,-101856.04,-4221.01,1318.54,1464.3
80,-108873.07,-11347.00,1253.37,3036.0
81,-106854.71,-14703.79,1379.38,1948.1
82,-106232.09,-12326.44,1376.02,1145.6
83,-101596.37,-16028.92,1745.10,1436.6
84,-104939.64,-17454.12,1515.89,1939.0
85,-105972.42,-18758.02,1534.79,1509.4
86,-106910.78,-21059.57,1608.87,1392.1
87,-105190.46,-21493.19,1512.70,1778.3
88,-98955.40,-18855.06,1214.74,4884.8
89,-105680.29,-23224.65,1613.03,1399.6
90,-107731.10,-22863.81,1645.36,2737.5
91,-86656.42,-22630.32,2255.39,1317.7
92,-91032.47,-20932.21,2064.51,1610.4
93,-95101.64,-22102.69,1970.85,1613.4
94,-94107.22,-23124.59,2154.15,1041.5
95,-93785.58,-26187.25,2167.82,1610.6
96,-91776.08,-24816.63,1970.48,1501.5
97,-94425.90,-29792.69,2103.84,3127.2
98,-94998.36,-28776.86,2208.87,1933.9
99,-100224.24,-28958.80,1818.67,3631.1
100,-100876.37,-27133.33,1844.52,1430.0
101,-86290.52,-29965.53,2104.38,1232.9
102,-85529.21,-24464.88,2271.98,1063.8
103,-94576.39,-12293.09,1645.36,1707.0
104,-95033.77,-14558.24,1877.45,2654.6
105,-97713.11,-12908.65,1802.29,3262.8
106,-89580.67,-16098.67,2325.06,1972.2
107,-89468.54,-14446.04,2188.79,3038.4
108,-88388.55,-12938.97,2387.36,1525.6
109,-85260.69,-8978.74,2418.49,2657.7
110,-85856.75,-17857.42,2474.48,1885.2
111,-87901.66,-18764.09,2074.52,3608.8
112,-94597.05,-7371.61,1678.55,9422.1
113,-85853.80,330.52,2034.35,3023.7
114,-85266.59,-2804.91,2204.00,1764.4
115,-83879.71,-2131.73,2087.29,1536.6
116,-84257.41,-3735.84,2271.96,2319.5
117,-90141.33,654.98,2015.63,1668.4
118,-90775.75,1955.86,1879.91,1669.1
119,-87293.80,1719.33,2103.90,2411.5
120,-84186.59,-5373.30,2282.12,2570.4
121,-84112.82,-6768.17,2484.21,2080.4
122,-82126.93,-6607.46,2205.22,2080.2
123,-80123.33,-7438.32,2150.00,2222.3
124,-78789.56,-9203.14,1957.73,3571.6
125,-76918.75,-11207.51,2127.34,2152.3
126,-77523.67,-13084.53,2218.25,1607.1
127,-79412.18,-15319.36,2490.60,1965.2
128,-79344.32,-19131.00,2528.76,1569.5
129,-79810.54,-19904.25,2591.06,1836.7
130,-75292.85,-17857.42,1242.96,4009.5
131,-77069.24,-19476.69,2032.71,2016.7
132,-77916.12,-17065.98,2116.50,3829.2
133,-76703.34,-15201.10,2096.08,1776.3
134,-73389.58,-9609.47,914.11,5222.3
