id,x,y,z,D
0,108761.19,-14100.36,2217.41,12156.3
1,81383.86,29122.55,2999.37,19174.6
2,93329.47,20832.14,2937.97,11342.2
3,-58227.26,19394.81,2345.66,10474.7
4,-96713.05,13427.18,2160.95,21681.9
5,9872.43,-3541.77,-346.02,5796.1
6,-1295.74,-17438.96,-576.05,9020.4
7,-28021.83,-4733.48,-381.74,7714.7
8,-32749.59,1837.60,-424.97,10560.6
9,-35318.54,10434.26,-532.29,7049.7
10,-31622.86,23030.58,76.80,5365.9
11,432.67,4454.50,735.29,116518.0
12,98203.71,5958.54,2872.05,2351.9
13,99256.08,15328.45,2822.21,1719.6
14,100265.63,17375.28,2890.66,4208.7
15,102323.04,15950.08,2923.24,1516.4
16,97723.72,15828.79,2914.14,2421.4
17,95884.90,14785.67,2872.48,1925.5
18,89611.25,14300.49,2992.74,2426.5
19,86720.06,13518.15,3018.88,2066.8
20,82602.98,12353.73,3198.17,1509.8
21,83035.65,8093.30,2994.20,2297.3
22,91017.41,18788.35,2873.97,2509.9
23,95303.50,17887.74,2885.78,2220.3
24,98359.20,19033.97,2960.68,1018.0
25,99823.95,20704.78,2835.24,1376.1
26,86330.21,17733.10,2752.87,4767.6
27,87695.81,21302.15,3006.50,3165.9
28,84349.41,21578.10,3148.03,2774.7
29,78783.36,21265.77,3467.91,2137.9
30,79819.95,24452.75,2723.15,1363.1
31,86172.47,28303.82,3093.53,1680.2
32,100015.50,29907.92,3118.66,3139.7
33,98449.34,28358.40,2896.97,1600.0
34,100628.44,26681.52,3052.97,1447.8
35,89523.37,28873.89,3768.81,1805.3
36,80284.17,16292.74,3458.73,4678.7
37,73032.52,19670.76,3995.25,1427.2
38,74136.72,25498.91,3216.26,2035.2
39,79750.09,28895.12,2797.77,2380.2
40,53812.72,29095.25,4686.27,1806.9
41,77755.78,23782.60,3052.79,1062.7
42,86591.61,11389.45,3022.54,1780.3
43,75700.62,14130.68,3893.64,1345.8
44,74945.71,12875.29,3993.63,1302.6
45,72040.99,14861.47,4326.49,1521.7
46,74258.40,14631.02,4033.86,1580.9
47,72462.39,9706.50,4128.39,1740.2
48,68261.93,9551.86,4103.94,1417.4
49,65402.29,10685.95,4260.99,1416.3
50,64099.79,12265.80,4471.96,1370.5
51,49422.97,16271.51,3090.21,1006.9
52,50099.01,14127.65,3242.56,1253.5
53,48487.79,14361.14,3144.62,1285.7
54,46863.04,15604.40,2906.73,2661.8
55,46709.80,23200.40,3418.05,1020.7
56,36472.32,25514.07,1341.83,1980.5
57,40057.58,21468.93,1877.74,2642.9
58,37403.00,19258.36,1330.02,2667.7
59,34579.41,17226.70,1070.15,1077.5
60,36747.24,8669.45,733.59,2050.7
61,39115.63,7074.44,829.94,1131.2
62,26388.06,9797.47,26.74,1109.8
63,15213.14,10034.00,-82.51,1336.2
64,15886.92,13603.06,14.70,1130.7
65,29817.84,19807.21,366.83,1085.7
66,13405.86,23379.30,78.94,1259.5
67,12889.81,18482.08,-80.67,2594.7
68,13232.34,17975.68,-104.71,2047.4
69,11098.31,16107.76,155.63,2368.0
70,8763.72,13548.47,22.93,1525.8
71,5221.28,11719.97,6.21,2984.7
72,1002.79,11550.16,715.89,3562.6
73,-3564.98,13120.91,688.31,2132.6
74,2492.33,23718.92,8.67,3538.8
75,1041.10,22290.69,171.39,1046.0
76,4896.78,23867.51,123.43,1658.2
77,3256.26,20277.22,112.86,3011.4
78,1530.10,15370.91,194.55,2370.8
79,4168.91,15743.88,64.71,1315.2
80,4344.68,17390.44,137.87,1173.7
81,3752.02,16741.52,96.38,1120.9
82,-175.77,19807.21,-92.53,4147.5
83,-2801.06,17905.94,123.16,2911.4
