id,x,y,z,D
0,-33549.97,-1873.98,-37.36,96340.1
1,-61675.99,-14497.59,-1403.39,13914.0
2,-109089.78,28228.01,120.37,12183.7
3,24212.99,-27579.09,1044.13,12516.6
4,-108104.14,29334.81,-25.40,2502.0
5,95544.67,14127.65,-1220.63,1973.6
6,92738.26,14655.28,-986.21,1026.1
7,79408.58,26075.05,-189.45,1028.4
8,90651.90,7978.07,-1040.60,1040.8
9,66778.28,6064.67,-670.27,1866.7
10,61330.72,6665.07,-426.45,1048.5
11,53584.34,9736.83,201.62,1529.7
12,45209.39,7456.51,515.23,1011.9
13,54310.28,29371.20,-3414.65,1337.1
14,11196.11,13023.88,-876.09,1092.7
15,12556.52,11280.29,-705.54,1112.0
16,7094.21,14218.62,-661.31,1005.8
17,6259.08,21338.54,-1240.95,1000.7
18,6672.22,19103.71,-1519.73,1161.7
19,-18189.99,22639.41,418.70,1553.7
20,-13964.15,17915.04,611.24,1389.3
21,-460.36,12602.38,488.54,2221.7
22,-54997.87,22357.41,-816.99,1232.3
23,-61401.55,18172.78,-665.02,1572.9
24,-43480.10,5227.75,-862.34,1005.0
25,-67855.40,27615.48,1254.01,1696.4
26,-72476.67,27548.76,1420.84,2180.7
27,-73462.30,22148.18,1113.57,3407.4
28,-62074.38,21711.52,-398.17,2239.7
29,-62339.97,19840.57,-320.39,1298.2
30,-61614.02,13954.81,-726.14,2361.5
31,-67147.15,7447.41,-454.98,2531.6
32,-77986.19,6079.83,883.64,1609.6
33,-86443.77,6759.07,1589.92,3290.8
34,-86904.13,16723.33,1602.75,2930.4
35,-91327.68,18166.72,1335.23,1486.0
36,-89799.06,17881.68,1369.59,2198.6
37,-93042.22,18106.07,1226.13,1690.4
38,-95736.48,15301.16,1141.80,1715.4
39,-99944.62,14103.39,945.67,2048.7
40,-97445.12,4636.44,1144.39,1575.9
41,-97055.58,6389.13,1119.04,1341.2
42,-81019.83,22957.81,1673.24,3239.4
43,-83879.35,25978.01,1269.62,3549.6
44,-93387.49,27151.53,875.85,2360.5
45,-94423.29,24528.56,1223.08,1431.3
46,-95128.58,23618.86,1157.41,1228.7
47,-94178.35,22048.11,984.56,3050.4
48,-97994.00,20656.27,902.37,2302.4
49,-98156.31,27694.32,877.21,2349.8
50,-98235.99,26208.47,929.31,2214.4
51,-77540.59,27918.71,1476.93,1020.3
52,-73294.10,16984.11,1028.03,1896.8
53,-102013.27,19977.02,1068.67,1887.0
54,-109691.78,11007.38,734.26,1808.1
55,-100443.34,8263.11,1016.97,3344.0
56,-99681.98,11140.80,1093.88,1160.2
